price,sqft,bedrooms,bathrooms,location,year_built,condition
357000,1580,2,1.5,Suburb,1960,Fair
272000,1480,2,1.0,Rural,1952,Poor
752000,2526,3,2.5,Downtown,1998,Excellent
372000,1640,2,1.5,Suburb,1963,Fair
537000,2050,3,2.0,Urban,1990,Good
375000,1620,2,1.5,Suburb,1962,Fair
1220000,3220,4,3.5,Waterfront,2008,Excellent
428000,1760,2,2.0,Suburb,1971,Good
529000,2100,3,2.5,Urban,1992,Good
890000,2890,4,3.0,Mountain,2008,Excellent
264000,1440,2,1.0,Rural,1951,Poor
682000,2420,3,2.5,Downtown,1990,Good
495000,1527,2,1.5,Suburb,1956,Good
1090000,3000,4,3.0,Waterfront,2000,Good
335000,1750,2,1.5,Rural,1968,Fair
552000,2150,3,2.0,Downtown,1982,Good
348000,1750,2,1.5,Rural,1972,Fair
462000,1835,2,2.0,Urban,1982,Good
380000,1650,2,1.5,Suburb,1965,Fair
582000,2200,3,2.0,Downtown,1985,Good
527000,2010,3,2.0,Urban,1993,Good
398000,1680,2,2.0,Suburb,1968,Fair
1250000,3250,4,3.5,Waterfront,2010,Excellent
401000,1742,2,1.5,Suburb,1963,Good
1420000,3520,5,4.0,Waterfront,2017,Excellent
298000,1650,2,1.5,Rural,1958,Fair
1520000,3620,5,4.0,Waterfront,2019,Excellent
530000,2080,3,2.0,Urban,1991,Good
392000,1650,2,2.0,Suburb,1966,Fair
1170000,3150,4,3.5,Waterfront,2005,Excellent
319000,1622,2,1.5,Rural,1975,Fair
482000,1925,3,2.0,Urban,1979,Good
420000,1750,2,2.0,Suburb,1972,Good
982000,2980,4,3.0,Mountain,2010,Excellent
440000,1830,3,2.0,Suburb,1975,Good
535000,2080,3,2.5,Urban,1995,Good
430000,1780,2,2.0,Suburb,1972,Good
302000,1680,2,1.5,Rural,1960,Fair
592000,2220,3,2.0,Downtown,1985,Good
1140000,3050,4,3.5,Waterfront,2003,Excellent
1210000,3102,4,3.0,Waterfront,2005,Excellent
492000,1980,3,2.0,Urban,1980,Good
1190000,3170,4,3.5,Waterfront,2006,Excellent
620000,2280,3,2.0,Downtown,1988,Good
595000,2230,3,2.0,Downtown,1986,Good
249000,1350,2,1.0,Rural,1947,Poor
495000,1950,3,2.0,Urban,1981,Good
520000,2050,3,2.0,Urban,1990,Good
575000,2150,3,2.0,Downtown,1983,Good
730000,2620,3,2.5,Downtown,1994,Excellent
320000,1700,2,1.5,Rural,1961,Fair
891000,2950,3,2.5,Downtown,2001,Excellent
338000,1525,2,1.5,Suburb,1965,Fair
1340000,3420,4,4.0,Waterfront,2014,Excellent
276000,1422,2,1.0,Rural,1952,Fair
729000,2640,3,2.5,Downtown,1995,Excellent
1380000,3480,4,4.0,Waterfront,2015,Excellent
425000,1720,2,2.0,Suburb,1970,Good
368000,1620,2,1.5,Suburb,1962,Fair
258000,1420,2,1.0,Rural,1950,Poor
415000,1720,2,2.0,Suburb,1970,Good
279000,1480,2,1.0,Rural,1953,Fair
587000,2180,3,2.0,Downtown,1984,Good
251000,1380,2,1.0,Rural,1948,Poor
510000,1980,3,2.0,Urban,1984,Good
675000,2450,3,2.5,Downtown,1991,Good
1280000,3280,4,3.5,Waterfront,2012,Excellent
