condition,location_Downtown,location_Mountain,location_Rural,location_Suburb,location_Urban,location_Waterfront,price,sqft,bedrooms,bathrooms,house_age
2.0,0.0,0.0,0.0,0.0,1.0,0.0,495000.0,1950.0,3.0,2.0,45.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,320000.0,1700.0,2.0,1.5,65.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,615000.0,2230.0,3.0,2.0,40.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,398000.0,1680.0,2.0,2.0,58.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,357000.0,1580.0,2.0,1.5,66.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1250000.0,3250.0,4.0,3.5,16.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,527000.0,2010.0,3.0,2.0,33.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,428000.0,1760.0,2.0,2.0,55.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,401000.0,1742.0,2.0,1.5,63.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,537000.0,2050.0,3.0,2.0,36.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,587000.0,2180.0,3.0,2.0,42.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,420000.0,1750.0,2.0,2.0,54.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,415000.0,1720.0,2.0,2.0,56.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,475000.0,1920.0,3.0,2.0,48.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0,729000.0,2640.0,3.0,2.5,31.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,312000.0,1680.0,2.0,1.5,67.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,502000.0,1950.0,3.0,2.0,44.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,276000.0,1422.0,2.0,1.0,74.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,520000.0,2050.0,3.0,2.0,36.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,328000.0,1730.0,2.0,1.5,61.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,512000.0,2030.0,3.0,2.0,38.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1190000.0,3170.0,4.0,3.5,20.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,440000.0,1830.0,3.0,2.0,51.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,249000.0,1350.0,2.0,1.0,79.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1140000.0,3050.0,4.0,3.5,23.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,492000.0,1980.0,3.0,2.0,46.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1210000.0,3102.0,4.0,3.0,21.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,251000.0,1380.0,2.0,1.0,78.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1580000.0,3680.0,5.0,4.0,8.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1680000.0,3850.0,5.0,4.5,14.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1220000.0,3220.0,4.0,3.5,18.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0,891000.0,2950.0,3.0,2.5,25.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,430000.0,1780.0,2.0,2.0,54.0
